,lat,lon,depth,time,magnitude
0,-26.8513,-63.2373,584.3,1293875818.46,7.0
1,-38.3907,-73.3993,24.4,1293999618.1699998,7.1
2,28.6831,63.9948,79.9,1295382205.57,7.2
3,38.4407,142.9803,26.2,1299638719.5900002,7.3
4,38.2963,142.498,19.7,1299822383.2,9.1
5,36.2274,141.088,25.4,1299824137.57,7.9
6,38.051,144.6297,19.8,1299824750.74,7.6
7,38.2513,141.7296,53.2,1302186764.1,7.1
8,51.9805,-171.8201,49.8,1308884978.92,7.3
9,-29.3073,-176.2572,25.4,1309979000.47,7.6
10,38.0553,143.3016,24.7,1310259430.91,7.0
11,-18.2774,168.067,34.6,1313859304.09,7.1
12,-18.3312,168.2258,31.5,1313864364.61,7.0
13,-7.6203,-74.538,149.3,1314207971.56,7.0
14,-20.6279,169.778,136.6,1315090535.76,7.0
15,-21.593,-179.324,629.0,1316115063.16,7.3
16,-28.8809,-176.0332,34.8,1319219837.3100002,7.4
17,38.7294,43.4465,7.6,1319366482.01,7.1
18,-14.5572,-76.1207,29.0,1319828074.7500002,7.0
19,-7.5278,146.814,128.5,1323839097.81,7.1
